Timestep: 0
1.5654708245231094e-23 2.5804525464584635e-23 2.437390892231387e-24
3.0647130208804946e-23 1.4432482930231352e-23 3.1194628946443685e-23
1.7906108183386927e-23 2.89710800605925e-23 1.9546305293143035e-23
3.2221408914974675e-23 7.879605542358391e-24 2.5271542272474137e-24
3.2097759742603043e-23 2.2450907920705078e-23 2.200664088006031e-24
3.008919803296178e-23 3.0949564848296433e-23 2.788899383561594e-23
1.4213447986804477e-23 1.542024137288419e-23 1.9969323349602598e-24
1.8051354636055038e-23 7.034865039408164e-24 3.166037871931584e-23
8.702621382996684e-24 1.690782716207954e-23 3.235664122492631e-23
3.157645659896484e-23 6.048954213977806e-24 2.9114217836175657e-23
1.5342655146864342e-23 2.7562316237870195e-23 1.4485600321639924e-23
1.395307531384466e-23 2.5192863507908203e-24 2.396217160194637e-23
1.487539425892342e-23 7.119866495045203e-24 2.196194006329257e-23
3.6432659554086524e-24 4.435245284543875e-24 3.241263373105189e-23
2.84298831132575e-23 1.7795025272025124e-23 2.8409260225236707e-24
6.366676074995124e-24 1.6352287967714504e-23 2.8575425169537166e-23
8.906041510419756e-24 2.7515573404437755e-23 2.709122567182985e-23
6.729115123055044e-24 1.751220465174372e-23 1.1343305553707272e-23
3.254862246745956e-23 3.0231149542019393e-23 2.2522505648338524e-24
1.8221309713497475e-23 2.2040483914906527e-23 2.032677876706964e-23
1.1054283946628328e-23 1.0220318257643918e-25 2.0174397525287385e-23
1.59960057591997e-23 2.1449473670854186e-23 2.1381331424503527e-23
8.51385144641832e-24 3.4723256452310698e-25 1.1759809971049351e-23
1.4356574893076766e-23 1.8150009318464576e-23 8.17784141855526e-24
2.9371208164564116e-23 1.949643162021538e-23 3.303251361034975e-23
2.8778239581166866e-23 5.7968427673884026e-24 3.233072664487978e-23
5.228919544172734e-24 3.3952877601583905e-24 3.372912361495617e-24
1.2981243096459068e-23 1.3581656183772636e-23 1.7340763838566656e-23
1.5847914228312075e-23 1.0334504329208717e-23 1.170912393446557e-23
